head,relation,tail
Potato,crop_has_disease,DownyMildew
DownyMildew,disease_exhibits_symptom,YellowMargins
DownyMildew,disease_triggered_by_condition,HeavyRain
DownyMildew,occurs_in_season,Winter
DownyMildew,disease_treated_by,Azoxystrobin
BellPepper,crop_has_disease,LeafBlight
LeafBlight,disease_exhibits_symptom,ElongatedLesions
LeafBlight,disease_triggered_by_condition,LowTemperature
LeafBlight,occurs_in_season,Summer
LeafBlight,disease_treated_by,Metalaxyl
Tomato,crop_has_disease,BrownSpot
BrownSpot,disease_exhibits_symptom,BrownCircularSpots
BrownSpot,disease_triggered_by_condition,HeavyRain
BrownSpot,occurs_in_season,Winter
BrownSpot,disease_treated_by,NeemExtract
BellPepper,crop_has_disease,DownyMildew
DownyMildew,disease_exhibits_symptom,WaterSoakedLesions
DownyMildew,disease_triggered_by_condition,HeavyRain
DownyMildew,occurs_in_season,Summer
DownyMildew,disease_treated_by,CopperFungicide
BellPepper,crop_has_disease,LeafSpot
LeafSpot,disease_exhibits_symptom,YellowMargins
LeafSpot,disease_triggered_by_condition,HighTemperature
LeafSpot,occurs_in_season,Summer
LeafSpot,disease_treated_by,CopperFungicide
Potato,crop_has_disease,LateBlight
LateBlight,disease_exhibits_symptom,DarkCircularSpots
LateBlight,disease_triggered_by_condition,HighHumidity
LateBlight,occurs_in_season,Summer
LateBlight,disease_treated_by,Mancozeb
Tomato,crop_has_disease,BrownSpot
BrownSpot,disease_exhibits_symptom,WaterSoakedLesions
BrownSpot,disease_triggered_by_condition,HighTemperature
BrownSpot,occurs_in_season,Monsoon
BrownSpot,disease_treated_by,Carbendazim
BellPepper,crop_has_disease,BrownSpot
BrownSpot,disease_exhibits_symptom,RapidLeafDecay
BrownSpot,disease_triggered_by_condition,HighTemperature
BrownSpot,occurs_in_season,Monsoon
BrownSpot,disease_treated_by,Streptomycin
BellPepper,crop_has_disease,LeafBlight
LeafBlight,disease_exhibits_symptom,ElongatedLesions
LeafBlight,disease_triggered_by_condition,HighHumidity
LeafBlight,occurs_in_season,Monsoon
LeafBlight,disease_treated_by,Carbendazim
Tomato,crop_has_disease,BrownSpot
BrownSpot,disease_exhibits_symptom,YellowLeaves
BrownSpot,disease_triggered_by_condition,HeavyRain
