head,relation,tail
Apple,hasDisease,Apple_Scab
Apple,hasDisease,Black_Rot
Apple,hasDisease,Cedar_Apple_Rust
Cherry,hasDisease,Powdery_Mildew
Corn,hasDisease,Gray_Leaf_Spot
Corn,hasDisease,Common_Rust
Corn,hasDisease,Northern_Leaf_Blight
Grape,hasDisease,Black_Rot
Grape,hasDisease,Esca
Grape,hasDisease,Leaf_Blight
Orange,hasDisease,Citrus_Greening
Peach,hasDisease,Bacterial_Spot
Pepper,hasDisease,Bacterial_Spot
Potato,hasDisease,Early_Blight
Potato,hasDisease,Late_Blight
Squash,hasDisease,Powdery_Mildew
Strawberry,hasDisease,Leaf_Scorch
Tomato,hasDisease,Bacterial_Spot
Tomato,hasDisease,Early_Blight
Tomato,hasDisease,Late_Blight
Tomato,hasDisease,Leaf_Mold
Tomato,hasDisease,Septoria_Leaf_Spot
Tomato,hasDisease,Spider_Mites
Tomato,hasDisease,Target_Spot
Tomato,hasDisease,Tomato_Yellow_Leaf_Curl_Virus
Tomato,hasDisease,Tomato_Mosaic_Virus
Apple_Scab,hasSymptom,Stunted_Growth
Apple_Scab,hasSymptom,Yellowing_Leaves
Apple_Scab,hasSymptom,Brown_Leaf_Spots
Apple_Scab,hasSymptom,Dark_Margins
Apple_Scab,treatedBy,Resistant_Variety
Apple_Scab,treatedBy,Sanitation
Apple_Scab,treatedBy,Crop_Rotation
Apple_Scab,affectsPart,Leaf
Black_Rot,hasSymptom,Vein_Yellowing
Black_Rot,hasSymptom,Yellowing_Leaves
Black_Rot,hasSymptom,Leaf_Scorch
Black_Rot,hasSymptom,Stunted_Growth
Black_Rot,treatedBy,Sanitation
Black_Rot,treatedBy,Soil_Solarization
Black_Rot,treatedBy,Fungicide
Black_Rot,affectsPart,Leaf
Cedar_Apple_Rust,hasSymptom,Brown_Leaf_Spots
Cedar_Apple_Rust,hasSymptom,Yellowing_Leaves
Cedar_Apple_Rust,hasSymptom,Leaf_Wilting
Cedar_Apple_Rust,hasSymptom,Mosaic_Patterns
Cedar_Apple_Rust,treatedBy,Pruning
Cedar_Apple_Rust,treatedBy,Fungicide
Cedar_Apple_Rust,treatedBy,Resistant_Variety
Cedar_Apple_Rust,affectsPart,Leaf
Powdery_Mildew,hasSymptom,Vein_Yellowing
Powdery_Mildew,hasSymptom,Stunted_Growth
Powdery_Mildew,hasSymptom,Leaf_Scorch
Powdery_Mildew,hasSymptom,Curling_Leaves
Powdery_Mildew,treatedBy,Resistant_Variety
Powdery_Mildew,treatedBy,Biological_Control
Powdery_Mildew,treatedBy,Remove_Infected_Plants
Powdery_Mildew,affectsPart,Leaf
Gray_Leaf_Spot,hasSymptom,Brown_Leaf_Spots
Gray_Leaf_Spot,hasSymptom,Water_Soaked_Lesions
Gray_Leaf_Spot,hasSymptom,Curling_Leaves
Gray_Leaf_Spot,hasSymptom,White_Powdery_Growth
Gray_Leaf_Spot,treatedBy,Remove_Infected_Plants
Gray_Leaf_Spot,treatedBy,Crop_Rotation
Gray_Leaf_Spot,treatedBy,Resistant_Variety
Gray_Leaf_Spot,affectsPart,Leaf
Common_Rust,hasSymptom,White_Powdery_Growth
Common_Rust,hasSymptom,Yellowing_Leaves
Common_Rust,hasSymptom,Stunted_Growth
Common_Rust,hasSymptom,Curling_Leaves
Common_Rust,treatedBy,Copper_Spray
Common_Rust,treatedBy,Proper_Irrigation
Common_Rust,treatedBy,Pruning
Common_Rust,affectsPart,Leaf
Northern_Leaf_Blight,hasSymptom,Mosaic_Patterns
Northern_Leaf_Blight,hasSymptom,Dark_Margins
Northern_Leaf_Blight,hasSymptom,Brown_Leaf_Spots
Northern_Leaf_Blight,hasSymptom,Necrotic_Tissue
Northern_Leaf_Blight,treatedBy,Pruning
Northern_Leaf_Blight,treatedBy,Copper_Spray
Northern_Leaf_Blight,treatedBy,Soil_Solarization
Northern_Leaf_Blight,affectsPart,Leaf
Black_Rot,hasSymptom,Yellowing_Leaves
Black_Rot,hasSymptom,Leaf_Scorch
Black_Rot,hasSymptom,Dark_Margins
Black_Rot,hasSymptom,White_Powdery_Growth
Black_Rot,treatedBy,Sanitation
Black_Rot,treatedBy,Resistant_Variety
Black_Rot,treatedBy,Copper_Spray
Black_Rot,affectsPart,Leaf
Esca,hasSymptom,Brown_Leaf_Spots
Esca,hasSymptom,Stunted_Growth
Esca,hasSymptom,Leaf_Wilting
Esca,hasSymptom,Dark_Margins
Esca,treatedBy,Copper_Spray
Esca,treatedBy,Resistant_Variety
Esca,treatedBy,Sanitation
Esca,affectsPart,Leaf
Leaf_Blight,hasSymptom,Curling_Leaves
Leaf_Blight,hasSymptom,Dark_Margins
Leaf_Blight,hasSymptom,Necrotic_Tissue
Leaf_Blight,hasSymptom,White_Powdery_Growth
Leaf_Blight,treatedBy,Crop_Rotation
Leaf_Blight,treatedBy,Proper_Irrigation
Leaf_Blight,treatedBy,Pruning
Leaf_Blight,affectsPart,Leaf
Citrus_Greening,hasSymptom,Leaf_Wilting
Citrus_Greening,hasSymptom,Stunted_Growth
Citrus_Greening,hasSymptom,Dark_Margins
Citrus_Greening,hasSymptom,Yellowing_Leaves
Citrus_Greening,treatedBy,Sanitation
Citrus_Greening,treatedBy,Crop_Rotation
Citrus_Greening,treatedBy,Resistant_Variety
Citrus_Greening,affectsPart,Leaf
Bacterial_Spot,hasSymptom,Water_Soaked_Lesions
Bacterial_Spot,hasSymptom,Necrotic_Tissue
Bacterial_Spot,hasSymptom,Curling_Leaves
Bacterial_Spot,hasSymptom,Dark_Margins
Bacterial_Spot,treatedBy,Pruning
Bacterial_Spot,treatedBy,Resistant_Variety
Bacterial_Spot,treatedBy,Proper_Irrigation
Bacterial_Spot,affectsPart,Leaf
Bacterial_Spot,hasSymptom,Brown_Leaf_Spots
Bacterial_Spot,hasSymptom,Leaf_Wilting
Bacterial_Spot,hasSymptom,Vein_Yellowing
Bacterial_Spot,hasSymptom,White_Powdery_Growth
Bacterial_Spot,treatedBy,Soil_Solarization
Bacterial_Spot,treatedBy,Remove_Infected_Plants
Bacterial_Spot,treatedBy,Copper_Spray
Bacterial_Spot,affectsPart,Leaf
Early_Blight,hasSymptom,Leaf_Wilting
Early_Blight,hasSymptom,Mosaic_Patterns
Early_Blight,hasSymptom,White_Powdery_Growth
Early_Blight,hasSymptom,Vein_Yellowing
Early_Blight,treatedBy,Biological_Control
Early_Blight,treatedBy,Soil_Solarization
