disease_class,temperature_celsius,soil_moisture_percent,soil_ph,soil_nitrogen_ppm
Pepper__bell___Bacterial_spot,31.9,88.67,6.34,127.94
Pepper__bell___Bacterial_spot,31.02,92.8,6.28,118.92
Pepper__bell___Bacterial_spot,30.62,99.68,6.21,108.42
Pepper__bell___Bacterial_spot,28.35,96.57,6.43,123.85
Pepper__bell___Bacterial_spot,28.24,96.88,6.42,124.16
Pepper__bell___Bacterial_spot,28.49,83.04,6.45,102.04
Pepper__bell___Bacterial_spot,31.37,92.4,6.46,113.41
Pepper__bell___Bacterial_spot,30.2,91.73,6.37,110.77
Pepper__bell___Bacterial_spot,34.83,94.23,6.08,134.33
Pepper__bell___Bacterial_spot,26.29,97.71,6.39,114.19
Pepper__bell___Bacterial_spot,32.18,93.8,6.32,118.61
Pepper__bell___Bacterial_spot,27.99,95.65,6.46,121.83
Pepper__bell___Bacterial_spot,29.24,96.72,6.25,112.99
Pepper__bell___Bacterial_spot,31.8,89.32,6.34,136.84
Pepper__bell___Bacterial_spot,31.88,88.13,6.53,116.56
Pepper__bell___Bacterial_spot,30.14,94.3,6.22,135.68
Pepper__bell___Bacterial_spot,31.08,99.66,6.3,102.91
Pepper__bell___Bacterial_spot,32.57,89.34,6.24,132.52
Pepper__bell___Bacterial_spot,29.99,93.38,6.01,114.23
Pepper__bell___Bacterial_spot,28.12,94.02,6.43,131.37
Pepper__bell___Bacterial_spot,31.96,91.13,6.4,119.63
Pepper__bell___Bacterial_spot,30.96,89.0,6.33,98.16
Pepper__bell___Bacterial_spot,30.98,96.68,6.3,121.03
Pepper__bell___Bacterial_spot,29.52,95.55,6.3,103.49
Pepper__bell___Bacterial_spot,28.88,94.83,6.37,118.75
Pepper__bell___Bacterial_spot,28.02,92.54,6.08,117.67
Pepper__bell___Bacterial_spot,32.0,98.15,6.23,102.31
Pepper__bell___Bacterial_spot,30.0,94.58,6.28,131.67
Pepper__bell___Bacterial_spot,29.62,92.27,6.05,111.9
Pepper__bell___Bacterial_spot,31.04,94.4,6.46,93.07
Pepper__bell___Bacterial_spot,28.71,94.58,6.07,140.19
Pepper__bell___Bacterial_spot,27.55,90.72,6.51,93.54
Pepper__bell___Bacterial_spot,31.9,94.35,6.36,97.92
Pepper__bell___Bacterial_spot,32.53,93.74,6.51,112.91
Pepper__bell___Bacterial_spot,28.61,93.63,5.98,110.63
Pepper__bell___Bacterial_spot,31.52,93.97,6.39,105.61
Pepper__bell___Bacterial_spot,27.53,91.27,6.5,109.38
Pepper__bell___Bacterial_spot,30.25,89.15,6.63,118.89
Pepper__bell___Bacterial_spot,31.67,91.71,6.38,107.13
Pepper__bell___Bacterial_spot,28.38,87.44,6.39,124.78
Pepper__bell___Bacterial_spot,28.61,88.93,6.11,107.22
Pepper__bell___Bacterial_spot,30.39,87.82,6.31,119.83
Pepper__bell___Bacterial_spot,24.68,86.43,6.39,132.17
Pepper__bell___Bacterial_spot,30.18,95.08,6.18,104.36
Pepper__bell___Bacterial_spot,27.84,92.75,6.48,118.12
Pepper__bell___Bacterial_spot,30.3,98.89,6.39,120.03
Pepper__bell___Bacterial_spot,30.03,92.02,6.54,123.98
Pepper__bell___Bacterial_spot,29.58,91.86,6.7,104.51
Pepper__bell___Bacterial_spot,29.71,100.0,6.49,105.39
Pepper__bell___Bacterial_spot,29.44,96.97,6.05,125.41
Pepper__bell___Bacterial_spot,29.64,96.12,6.39,112.81
Pepper__bell___Bacterial_spot,31.17,97.36,6.35,105.8
Pepper__bell___Bacterial_spot,32.65,92.11,6.37,144.54
Pepper__bell___Bacterial_spot,27.41,88.16,6.29,113.45
Pepper__bell___Bacterial_spot,29.77,100.0,6.5,117.04
Pepper__bell___Bacterial_spot,30.2,96.99,6.58,117.57
Pepper__bell___Bacterial_spot,31.82,91.18,6.32,120.17
Pepper__bell___Bacterial_spot,31.47,95.78,6.17,116.03
Pepper__bell___Bacterial_spot,29.62,92.42,6.36,111.45
Pepper__bell___Bacterial_spot,28.75,87.01,6.06,112.24
Pepper__bell___Bacterial_spot,29.1,84.37,6.37,91.57
Pepper__bell___Bacterial_spot,31.14,88.66,6.27,117.06
Pepper__bell___Bacterial_spot,30.31,92.91,6.43,109.05
Pepper__bell___Bacterial_spot,33.38,97.66,6.5,111.98
Pepper__bell___Bacterial_spot,30.67,89.1,6.34,115.39
Pepper__bell___Bacterial_spot,33.37,88.46,5.94,103.58
Pepper__bell___Bacterial_spot,27.19,89.51,6.51,102.32
Pepper__bell___Bacterial_spot,26.93,92.02,6.26,128.86
Pepper__bell___Bacterial_spot,29.29,95.1,6.06,93.44
Pepper__bell___Bacterial_spot,27.41,93.11,6.57,121.17
Pepper__bell___Bacterial_spot,31.56,99.05,6.31,112.25
Pepper__bell___Bacterial_spot,31.98,86.26,6.65,115.59
Pepper__bell___Bacterial_spot,26.7,89.18,5.87,118.48
Pepper__bell___Bacterial_spot,31.54,94.89,6.22,127.34
Pepper__bell___Bacterial_spot,34.89,96.89,6.11,116.51
Pepper__bell___Bacterial_spot,28.78,84.61,6.32,114.53
Pepper__bell___Bacterial_spot,31.68,87.28,6.23,107.34
Pepper__bell___Bacterial_spot,28.92,89.22,6.14,111.18
Pepper__bell___Bacterial_spot,28.65,90.43,6.53,115.62
Pepper__bell___Bacterial_spot,30.99,89.64,6.3,111.88
Pepper__bell___Bacterial_spot,28.8,91.21,6.41,124.41
Pepper__bell___Bacterial_spot,29.03,92.39,6.78,116.45
Pepper__bell___Bacterial_spot,30.41,96.07,6.16,108.24
Pepper__bell___Bacterial_spot,31.96,89.64,6.55,124.13
Pepper__bell___Bacterial_spot,26.27,94.93,5.99,127.26
Pepper__bell___Bacterial_spot,32.17,89.53,6.12,115.12
Pepper__bell___Bacterial_spot,30.02,100.0,6.28,118.12
Pepper__bell___Bacterial_spot,28.7,85.89,6.16,93.13
Pepper__bell___Bacterial_spot,28.52,88.29,6.38,96.89
Pepper__bell___Bacterial_spot,31.35,85.02,6.57,123.34
Pepper__bell___Bacterial_spot,31.51,96.84,6.05,103.66
Pepper__bell___Bacterial_spot,26.46,87.59,6.28,112.54
Pepper__bell___Bacterial_spot,29.45,90.99,6.75,117.19
Pepper__bell___Bacterial_spot,30.2,88.12,5.92,98.05
Pepper__bell___Bacterial_spot,29.12,97.6,6.56,112.6
Pepper__bell___Bacterial_spot,30.85,94.37,5.85,117.46
Pepper__bell___Bacterial_spot,29.31,91.9,6.05,107.74
Pepper__bell___Bacterial_spot,29.72,94.3,6.29,109.75
Pepper__bell___Bacterial_spot,26.72,93.9,6.64,126.8
Pepper__bell___Bacterial_spot,27.08,97.15,6.17,117.22
Pepper__bell___Bacterial_spot,31.69,90.39,6.4,100.02
Pepper__bell___Bacterial_spot,31.5,100.0,6.48,101.06
Pepper__bell___Bacterial_spot,28.75,90.72,6.26,114.45
Pepper__bell___Bacterial_spot,29.67,96.04,6.53,128.36
Pepper__bell___Bacterial_spot,30.09,87.22,6.41,98.45
Pepper__bell___Bacterial_spot,32.29,98.62,6.24,128.56
Pepper__bell___Bacterial_spot,35.35,97.95,6.31,117.73
Pepper__bell___Bacterial_spot,34.54,90.46,6.12,98.91
Pepper__bell___Bacterial_spot,28.75,91.54,6.42,108.24
Pepper__bell___Bacterial_spot,30.57,91.63,6.42,124.72
Pepper__bell___Bacterial_spot,31.15,80.34,5.93,124.36
Pepper__bell___Bacterial_spot,30.72,80.89,6.46,111.92
Pepper__bell___Bacterial_spot,29.78,91.17,6.25,120.72
Pepper__bell___Bacterial_spot,30.89,90.52,6.09,115.41
Pepper__bell___Bacterial_spot,32.12,91.22,6.37,125.9
Pepper__bell___Bacterial_spot,27.47,92.13,6.37,116.11
Pepper__bell___Bacterial_spot,31.78,83.89,6.34,105.1
Pepper__bell___Bacterial_spot,32.14,88.01,6.29,104.58
Pepper__bell___Bacterial_spot,26.82,90.49,6.48,119.34
Pepper__bell___Bacterial_spot,32.38,96.92,5.8,101.33
Pepper__bell___Bacterial_spot,30.6,86.62,6.33,118.11
Pepper__bell___Bacterial_spot,28.71,91.42,6.39,115.77
Pepper__bell___Bacterial_spot,30.68,91.27,6.26,102.72
Pepper__bell___Bacterial_spot,28.67,93.18,6.47,117.33
Pepper__bell___Bacterial_spot,33.44,97.27,6.35,111.17
Pepper__bell___Bacterial_spot,30.91,88.45,6.38,115.8
Pepper__bell___Bacterial_spot,27.34,86.52,6.2,115.43
Pepper__bell___Bacterial_spot,31.8,89.45,6.29,99.67
Pepper__bell___Bacterial_spot,31.3,92.85,6.61,115.27
Pepper__bell___Bacterial_spot,27.97,87.7,6.58,115.12
Pepper__bell___Bacterial_spot,28.42,98.26,6.14,118.61
Pepper__bell___Bacterial_spot,30.08,90.35,6.15,113.04
Pepper__bell___Bacterial_spot,29.54,92.9,6.16,118.72
Pepper__bell___Bacterial_spot,30.05,91.22,6.28,133.42
Pepper__bell___Bacterial_spot,31.5,94.92,6.29,112.97
Pepper__bell___Bacterial_spot,26.33,86.86,6.44,107.38
Pepper__bell___Bacterial_spot,31.24,88.4,6.55,113.01
Pepper__bell___Bacterial_spot,32.11,88.17,6.37,119.3
Pepper__bell___Bacterial_spot,31.48,89.38,6.69,123.88
Pepper__bell___Bacterial_spot,29.8,93.07,6.3,119.34
Pepper__bell___Bacterial_spot,28.39,87.93,6.34,112.6
Pepper__bell___Bacterial_spot,33.81,95.35,6.42,100.13
Pepper__bell___Bacterial_spot,28.43,89.73,6.06,95.75
Pepper__bell___Bacterial_spot,29.43,90.8,6.49,141.6
Pepper__bell___Bacterial_spot,29.21,90.18,6.19,120.6
Pepper__bell___Bacterial_spot,28.01,94.02,6.02,117.35
